Date,Open,High,Low,Close,Adj Close,Volume
6/15/2023,426.019989,432.890015,421.470001,426.529999,426.494873,56862200
6/16/2023,434.5,437.209991,426.609985,426.920013,426.884857,65475500
6/20/2023,429.980011,439.899994,426.73999,438.079987,438.043915,45115300
6/21/2023,435.01001,436.149994,420.799988,430.450012,430.414551,55160300
6/22/2023,422.529999,434.26001,422.339996,430.25,430.214569,41773700
6/23/2023,424.640015,428.089996,420.149994,422.089996,422.055237,35632300
6/26/2023,424.609985,427.640015,401,406.320007,406.28653,59432200
6/27/2023,407.98999,419.399994,404.480011,418.76001,418.725525,46217500
6/28/2023,406.600006,418.450012,405.179993,411.170013,411.136139,58263900
6/29/2023,415.579987,416,406,408.220001,408.186371,38051400
6/30/2023,416.799988,425.5,415.01001,423.019989,422.985138,50053400
7/3/2023,425.170013,428.980011,422.019989,424.130005,424.095062,19820900
7/5/2023,421.350006,431.769989,420.850006,423.170013,423.135162,32361800
7/6/2023,418.440002,421.790009,413.459991,421.029999,420.995331,30358200
7/7/2023,423.220001,432.140015,421.799988,425.029999,424.994995,35525300
7/10/2023,426.570007,428.109985,416.48999,421.799988,421.765228,35390800
7/11/2023,424.809998,427.579987,420.670013,424.049988,424.015045,29824400
7/12/2023,430.329987,439.350006,427.769989,439.019989,438.983826,48127700
7/13/2023,445.179993,461.549988,444.920013,459.769989,459.732117,47820400
7/14/2023,465.829987,480.880005,450.600006,454.690002,454.652557,77066400
7/17/2023,462.890015,464.959991,452.619995,464.609985,464.571716,51048800
7/18/2023,467.01001,478.959991,457.339996,474.940002,474.900879,57019000
7/19/2023,474.640015,478.179993,467.420013,470.769989,470.731201,42750200
7/20/2023,465.070007,470.869995,450.619995,455.200012,455.162506,53786500
7/21/2023,457.880005,458.660004,441,443.089996,443.053497,96283200
7/24/2023,447.309998,451.089996,440.399994,446.119995,446.083252,38251600
7/25/2023,449.410004,461.829987,449.230011,456.790009,456.75238,34808100
7/26/2023,460.209991,460.529999,446.299988,454.519989,454.482544,36423700
7/27/2023,465.190002,473.950012,457.5,459,458.962189,45597600
7/28/2023,466.679993,470.269989,463.809998,467.5,467.461487,33119400
7/31/2023,467.540009,471.299988,465.059998,467.290009,467.251526,25105500
8/1/2023,464.600006,469,460.269989,465.070007,465.031708,23785800
8/2/2023,458.309998,458.399994,433.869995,442.690002,442.653534,53014200
8/3/2023,438,451.179993,438,445.149994,445.113312,32417600
8/4/2023,449.850006,456.420013,443.929993,446.799988,446.763184,36225800
8/7/2023,451.109985,455.399994,445.630005,454.170013,454.132599,32215400
8/8/2023,448.529999,452.420013,440.559998,446.640015,446.60321,35384300
8/9/2023,442.73999,443.119995,421.339996,425.540009,425.504944,58644900
8/10/2023,421.600006,435.73999,418.350006,423.880005,423.845093,49270500
8/11/2023,417.51001,420.179993,406.390015,408.549988,408.516327,53200900
8/14/2023,404.859985,438,403.109985,437.529999,437.493958,69028600
8/15/2023,445.600006,452.679993,437.100006,439.399994,439.3638,67651200
8/16/2023,445.200012,446.75,434.059998,434.859985,434.824158,52745100
8/17/2023,439.700012,440.619995,430.01001,433.440002,433.404297,45239500
8/18/2023,426.350006,435.779999,416.600006,432.98999,432.954315,58262200
8/21/2023,444.940002,470.649994,442.220001,469.670013,469.631317,69257300
8/22/2023,481.350006,481.869995,453.329987,456.679993,456.642365,75720700
8/23/2023,458.660004,472,452.079987,471.160004,471.121185,77904600
8/24/2023,502.160004,502.660004,471.589996,471.630005,471.591156,115604400
8/25/2023,470.119995,478.049988,450.23999,460.179993,460.14209,92534100
8/28/2023,464.820007,469.799988,448.880005,468.350006,468.311432,68519200
8/29/2023,466.660004,490.809998,463.910004,487.839996,487.799805,70139700
8/30/2023,490.440002,499.269989,484.25,492.640015,492.599426,73520600
8/31/2023,493.799988,497.440002,489.579987,493.549988,493.509338,52857000
9/1/2023,497.619995,498,481.420013,485.089996,485.050049,46319100
9/5/2023,482.230011,488.51001,478.600006,485.480011,485.440033,38265300
9/6/2023,484.410004,485.48999,465.799988,470.609985,470.609985,46867000
9/7/2023,455.25,463.440002,451.519989,462.410004,462.410004,43333000
9/8/2023,459.420013,466.059998,452.709991,455.720001,455.720001,47306900
9/11/2023,461.480011,461.630005,443.119995,451.779999,451.779999,47396600
9/12/2023,447.380005,456.730011,445.309998,448.700012,448.700012,34925600
9/13/2023,446,459.299988,445.029999,454.850006,454.850006,39835500
9/14/2023,459.5,459.869995,451.309998,455.809998,455.809998,37009700
9/15/2023,453.410004,455.98999,438.079987,439,439,50571300
9/18/2023,427.480011,442.420013,420,439.660004,439.660004,50027100
9/19/2023,438.329987,439.660004,430.019989,435.200012,435.200012,37306400
9/20/2023,436,439.029999,422.230011,422.390015,422.390015,36710800
9/21/2023,415.829987,421,409.799988,410.170013,410.170013,44893000
9/22/2023,415.720001,421.149994,412.309998,416.100006,416.100006,47923600
9/25/2023,415.910004,425.359985,411.769989,422.220001,422.220001,41909100
9/26/2023,420.01001,428.200012,416.549988,419.109985,419.109985,40228200
9/27/2023,423.299988,428.720001,416.290009,424.679993,424.679993,44493500
9/28/2023,424.600006,434.459991,421.149994,430.890015,430.890015,42466300
9/29/2023,438.269989,441.440002,433.070007,434.98999,434.98999,39722100
10/2/2023,440.299988,451.75,438.609985,447.820007,447.820007,43329800
10/3/2023,448.079987,451.299988,432.459991,435.170013,435.170013,47085000
10/4/2023,437.420013,441.429993,432.920013,440.410004,440.410004,36182100
10/5/2023,440.5,449,438.880005,446.880005,446.880005,39348300
10/6/2023,441.929993,457.890015,440.26001,457.619995,457.619995,43339700
10/9/2023,448.420013,456.049988,443.679993,452.730011,452.730011,40967500
10/10/2023,453.100006,462.589996,450.880005,457.980011,457.980011,36858200
10/11/2023,461.959991,468.589996,460.5,468.059998,468.059998,37813700
10/12/2023,467.769989,476.089996,463.299988,469.450012,469.450012,48132500
10/13/2023,469.600006,471.160004,452.799988,454.609985,454.609985,47411500
10/16/2023,450.630005,462.25,449.119995,460.950012,460.950012,37509900
10/17/2023,440,447.540009,424.799988,439.380005,439.380005,81233300
10/18/2023,425.910004,432.190002,418.25,421.959991,421.959991,62729400
10/19/2023,428.109985,432.970001,418.820007,421.01001,421.01001,50123300
10/20/2023,418.899994,424.700012,410.779999,413.869995,413.869995,47638100
10/23/2023,412.290009,432.480011,409.450012,429.75,429.75,47853000
10/24/2023,430.769989,436.970001,426.910004,436.630005,436.630005,40146300
10/25/2023,433.980011,436.5,415.549988,417.790009,417.790009,39837900
10/26/2023,418.529999,422.559998,398.799988,403.26001,403.26001,54100100
10/27/2023,411.299988,412.059998,400.149994,405,405,41678400
10/30/2023,410.869995,417.660004,404.809998,411.609985,411.609985,38802800
10/31/2023,404.5,408.790009,392.299988,407.799988,407.799988,51796900
11/1/2023,408.839996,423.809998,408.690002,423.25,423.25,43759300
11/2/2023,433.279999,438.839996,428.940002,435.059998,435.059998,40917200
11/3/2023,440.200012,453.089996,437.230011,450.049988,450.049988,42385500
11/6/2023,452.850006,459.350006,448.98999,457.51001,457.51001,40073300
11/7/2023,457.190002,462.179993,451.579987,459.549988,459.549988,34316500
11/8/2023,461,468.670013,459.679993,465.73999,465.73999,34671900
11/9/2023,474.670013,482.299988,467.5,469.5,469.5,54049600
11/10/2023,475,484.720001,472.829987,483.350006,483.350006,42124500
11/13/2023,483.200012,491.160004,480.98999,486.200012,486.200012,38413600
11/14/2023,496.799988,498.339996,490.399994,496.559998,496.559998,41695400
11/15/2023,499.350006,499.600006,482,488.880005,488.880005,47549700
11/16/2023,486.790009,495.25,483.299988,494.799988,494.799988,33975600
11/17/2023,495.23999,497.149994,490.070007,494.131592,494.131592,26241503
